pre_test_note_1,,,,,
=====
Time,Accel X,Accel Y,Accel Z,Orientation
0.6019399999999999,-15620.0,1480.0,1060.0,X-axis up
0.6062639999999999,-15564.0,1428.0,1244.0,X-axis up
0.6105960000000001,-15508.0,1512.0,1192.0,X-axis up
0.6149360000000001,-15508.0,1420.0,1196.0,X-axis up
0.6192679999999999,-15600.0,1484.0,1152.0,X-axis up
0.6235840000000001,-15608.0,1536.0,1112.0,X-axis up
0.62792,-15528.0,1496.0,1176.0,X-axis up
0.6322520000000003,-15592.0,1384.0,1296.0,X-axis up
0.6365920000000003,-15540.0,1520.0,1208.0,X-axis up
0.6409160000000003,-15596.0,1504.0,1212.0,X-axis up
0.6452439999999999,-15408.0,1456.0,1080.0,X-axis up
0.6495839999999999,-15648.0,1528.0,1232.0,X-axis up
0.6539160000000002,-15548.0,1508.0,1224.0,X-axis up
0.6582440000000003,-15492.0,1252.0,1204.0,X-axis up
0.6625680000000003,-15568.0,1444.0,1188.0,X-axis up
0.6669,-15520.0,1508.0,1068.0,X-axis up
0.6712320000000003,-15600.0,1504.0,1144.0,X-axis up
0.6755599999999999,-15528.0,1508.0,1268.0,X-axis up
0.6798839999999999,-15520.0,1460.0,1156.0,X-axis up
0.684212,-15488.0,1424.0,1244.0,X-axis up
0.6885440000000003,-15592.0,1400.0,1280.0,X-axis up
0.6928800000000002,-15568.0,1472.0,1224.0,X-axis up
0.6972119999999999,-15540.0,1388.0,1260.0,X-axis up
0.7015359999999999,-15552.0,1408.0,1056.0,X-axis up
0.7058800000000001,-15488.0,1444.0,1152.0,X-axis up
0.7102240000000002,-15524.0,1488.0,1268.0,X-axis up
0.7145520000000003,-15420.0,1544.0,1156.0,X-axis up
0.7188760000000003,-15580.0,1316.0,1236.0,X-axis up
0.7232080000000001,-15592.0,1460.0,1148.0,X-axis up
0.727544,-15564.0,1480.0,1104.0,X-axis up
0.7318720000000001,-15524.0,1468.0,1248.0,X-axis up
0.736192,-15568.0,1408.0,1104.0,X-axis up
0.7405280000000003,-15540.0,1484.0,1184.0,X-axis up
0.7448600000000001,-15492.0,1476.0,1108.0,X-axis up
0.7491880000000002,-15432.0,1440.0,1128.0,X-axis up
0.75352,-15508.0,1452.0,1112.0,X-axis up
0.7578400000000003,-15544.0,1480.0,1172.0,X-axis up
0.7621760000000002,-15544.0,1540.0,1208.0,X-axis up
0.7665160000000002,-15596.0,1436.0,1064.0,X-axis up
0.7708440000000003,-15524.0,1452.0,1224.0,X-axis up
0.7751640000000002,-15520.0,1444.0,1212.0,X-axis up
0.779496,-15484.0,1460.0,1332.0,X-axis up
0.7838279999999997,-15684.0,1580.0,1168.0,X-axis up
0.7881640000000001,-15436.0,1444.0,1212.0,X-axis up
0.7924920000000002,-15460.0,1392.0,1172.0,X-axis up
0.796824,-15560.0,1468.0,1152.0,X-axis up
0.801164,-15540.0,1456.0,1180.0,X-axis up
0.8054920000000001,-15492.0,1496.0,1180.0,X-axis up
0.8098200000000002,-15548.0,1488.0,1268.0,X-axis up
0.8141439999999998,-15540.0,1432.0,1156.0,X-axis up
0.8184760000000004,-15496.0,1432.0,1104.0,X-axis up
0.8228119999999999,-15552.0,1488.0,1172.0,X-axis up
0.82714,-15512.0,1440.0,1096.0,X-axis up
0.8314640000000004,-15596.0,1468.0,1164.0,X-axis up
0.8357920000000005,-15584.0,1404.0,1172.0,X-axis up
0.8401240000000003,-15532.0,1456.0,1232.0,X-axis up
0.8444599999999998,-15572.0,1484.0,1104.0,X-axis up
0.8487879999999999,-15568.0,1500.0,1096.0,X-axis up
0.853116,-15612.0,1480.0,1160.0,X-axis up
0.857456,-15576.0,1496.0,1160.0,X-axis up
0.8617879999999998,-15524.0,1560.0,1228.0,X-axis up
0.8661200000000004,-15656.0,1536.0,1168.0,X-axis up
0.870444,-15464.0,1600.0,1300.0,X-axis up
0.8747720000000001,-15524.0,1508.0,1280.0,X-axis up
0.8791080000000004,-15568.0,1408.0,1116.0,X-axis up
0.8834360000000006,-15548.0,1504.0,1124.0,X-axis up
0.8877560000000004,-15508.0,1552.0,1228.0,X-axis up
0.8920880000000002,-15560.0,1408.0,1020.0,X-axis up
0.89642,-15460.0,1420.0,1156.0,X-axis up
0.9007480000000001,-15560.0,1444.0,1088.0,X-axis up
0.9050720000000005,-15528.0,1476.0,1144.0,X-axis up
0.9093960000000001,-15496.0,1356.0,1064.0,X-axis up
0.9137279999999999,-15528.0,1568.0,1224.0,X-axis up
0.9180679999999999,-15476.0,1472.0,1104.0,X-axis up
0.922396,-15584.0,1528.0,1088.0,X-axis up
0.9267200000000004,-15416.0,1452.0,1268.0,X-axis up
0.9310600000000004,-15472.0,1464.0,1268.0,X-axis up
0.9353959999999999,-15472.0,1512.0,1240.0,X-axis up
0.9397279999999997,-15520.0,1432.0,1316.0,X-axis up
0.9440559999999998,-15528.0,1528.0,1164.0,X-axis up
0.9483839999999999,-15536.0,1488.0,1152.0,X-axis up
0.9527200000000002,-15508.0,1444.0,1220.0,X-axis up
0.9570480000000003,-15672.0,1588.0,1164.0,X-axis up
0.9613760000000005,-15488.0,1472.0,1348.0,X-axis up
0.9656960000000003,-15524.0,1464.0,1080.0,X-axis up
0.9700319999999998,-15400.0,1432.0,1036.0,X-axis up
0.9743719999999998,-15580.0,1484.0,1188.0,X-axis up
0.9786960000000002,-15564.0,1476.0,1088.0,X-axis up
